hit_index,sensor_hit_index,track_index,x_intersect,y_intersect,z_intersect,x_hit,y_hit,z_hit,pT,phi0,cellID,distance,matched_sensor_id,sensor_x_mm,sensor_y_mm,sensor_z_mm,candidate_sensor_ids,hit_row,hit_col,expected_row,expected_col
10,0,82,116.05931308495929,-51.55583218381071,124.57141876220705,116.01986,-51.714817,124.57142,7.208648681640625,0.4167153537273407,335757315,0.16380716347853336,852.0,114.423046224,-55.1032348679,135.45,[852],737.0,665.0,743.8961073635716,667.4506744383712
11,0,571,2.2762153505391325,129.54704854467707,129.55172729492188,2.8841138,129.4685,129.55173,7.071905612945557,-1.5546016693115234,335601667,0.6129514372420221,244.0,7.92958802448e-15,129.5,135.45,[244],600.0,717.0,603.8819417870826,693.048614021565
12,0,12,-126.966913091691,-0.03425024424359435,129.70416259765625,-126.9685,0.91601,129.70416,6.921844005584717,3.1399471759796143,335659011,0.9502615884982786,468.0,-127.0,1.55530143492e-14,135.45,[468],638.0,603.0,600.6299902302555,603.3234763323605
13,0,983,26.52625340411032,124.2648087262769,126.53438568115233,26.436214,124.19984,126.534386,7.100693702697754,-1.361829400062561,335593475,0.1110332111104149,212.0,28.2601586125,123.815844847,135.45,[212],617.0,529.0,619.958555171076,532.6437916644128
14,0,148,-86.89481713926216,93.09746225978233,129.2313995361328,-86.89815,93.099846,129.2314,6.9680891036987305,-2.323118209838867,335626243,0.004095550095801169,340.0,-79.1832048361,99.29259827339999,135.45,"[340, 372]",354.0,293.0,354.19455945529364,293.53550787351367
15,0,989,128.87189106606365,-16.992788472220127,127.2958221435547,128.83688,-17.354877,127.29582,7.220581531524658,0.12975150346755981,335765507,0.3637773635658478,884.0,126.25316462800001,-28.8164609473,135.45,[884],1060.0,705.0,1074.9468990031949,706.7490575225457
16,0,83,126.93338514534696,1.064255123201292,124.28715515136719,126.9685,1.1529123,124.287155,7.2218756675720215,-0.009702427312731743,335544323,0.09535730941345319,20.0,127.0,0.0,135.45,[20],648.0,600.0,644.5702049280517,599.3354058138783
17,0,736,-47.86169244165649,-120.59917021961519,130.79269409179688,-47.614677,-120.76917,130.7927,7.014664649963379,1.947210669517517,335699971,0.2998620499354454,628.0,-56.1879442157,-116.675468393,135.45,[628],438.0,944.0,445.05192693539243,935.0500709617404
18,0,791,-98.01663977672433,-84.66510570907121,131.63504028320312,-97.6031,-85.26093,131.63504,6.957458019256592,2.4277548789978027,335683587,0.7252738837035433,564.0,-101.24717697999999,-80.7419293407,135.45,[564],421.0,747.0,445.07294526515125,731.2214881310263
19,0,267,-58.74947120286379,115.28478592843021,130.67347717285156,-58.808407,115.378555,130.67348,7.001682758331299,-2.043482780456543,335618051,0.11075243910654149,308.0,-56.1879442157,116.675468393,135.45,[308],550.0,497.0,546.3727014172082,499.5389205134484
20,0,114,50.01203505631565,-119.630501523563,128.6302947998047,50.090416,-119.57692,128.6303,7.127875328063965,1.1734591722488403,335732739,0.09494520787376012,756.0,56.1879442157,-116.675468393,135.45,[756],485.0,358.0,483.7986747774801,354.963633624626
21,0,214,56.13231748896942,-116.60878191716256,128.253173828125,57.022545,-116.23859,128.25317,7.135168552398682,1.1208007335662842,335732739,0.9641314617137908,756.0,56.1879442157,-116.675468393,135.45,[756],619.0,635.0,604.6674590334976,599.7749309307767
22,0,920,-89.81422399716394,90.76299201772781,129.6336212158203,-89.765594,90.81313,129.63362,6.965004920959473,-2.3523154258728027,335626243,0.06984963743309638,340.0,-79.1832048361,99.29259827339999,135.45,"[340, 372]",262.0,178.0,260.81574977311277,176.7592335574426
23,0,109,-124.51596430558129,-36.466747640501126,132.43002319335938,-124.49024,-36.39876,132.43002,6.927762508392334,2.8552870750427246,335667203,0.07268918891528646,500.0,-126.25316462800001,-28.8164609473,135.45,[500],298.0,672.0,295.9885322719549,671.4880128967491
24,0,335,-126.88623073183771,13.559595580438327,130.3446807861328,-126.9685,12.981435,130.34468,6.922645092010498,-3.0365149974823,335659011,0.5839844208138006,468.0,-127.0,1.55530143492e-14,135.45,[468],1121.0,603.0,1144.3838232175324,606.5507707264919
